Membership number,First name,Middle name,Last name,Date of birth,Address,Status,Membership start date,Membership end date,Renewal date,Phone,Email,Notes
284688,Ashley,,Rocha,December 7 1946,,Silver,September 13 1987,,February 13 2028,4595722231,,
370057,Roy,,Lopez,June 25 1945,,Silver,October 19 2021,,November 13 2024,3642033889,,
496871,Kim,,Conley,May 23 1994,,Silver,April 26 2016,,December 31 2023,5998775979,,
411277,Bryan,,Meza,October 16 1975,,Basic,March 1 2011,,March 3 2028,3498854037,,
325100,Carlos,,Reynolds,September 16 2004,,Basic,February 16 2023,,May 25 2027,7556958832,,
261400,Matthew,,Flynn,April 9 1990,,Basic,March 9 2019,,January 29 2026,9483403524,,
119191,Dominique,,Mcdonald,May 4 1931,,Platinum,February 28 2015,,May 2 2027,9292655627,,
258234,Adam,,Walton,June 1 1996,,Platinum,January 10 2020,,December 30 2027,2565020018,,
284940,Edward,,Stewart,December 24 1925,,Basic,September 11 1998,,September 22 2024,4598103093,,
605325,Sonya,,Griffin,January 11 1939,,Platinum,January 19 2001,,November 22 2026,6495187097,,
325112,Tara,,Pennington,August 24 1953,,Platinum,February 6 2017,,May 23 2026,9429482037,,
273813,Herbert,,Coffey,April 14 1948,,Gold,January 4 1995,,January 26 2027,5384660615,,
228427,Vickie,,Moore,April 12 1938,,Platinum,April 2 2019,,October 13 2023,4273987738,,
625085,Jeffery,,Cruz,February 6 1951,,Basic,January 21 1996,,March 1 2026,6614905904,,
391184,Christopher,,Gonzales,May 28 1949,,Basic,December 30 1996,,May 21 2026,3306125914,,
231476,James,,Patterson,September 6 1987,,Silver,July 31 2009,,August 14 2024,8524490998,,
602354,Heather,,Olson,August 24 1949,,Platinum,July 12 1996,,January 24 2026,6812934711,,
544594,Daniel,,Wall,November 15 1950,,Gold,July 22 1987,,July 1 2027,6044802300,,
102712,Curtis,,Holland,June 14 1933,,None,October 8 1995,May 1 2014,June 2 2024,4817385771,,
364781,William,,Figueroa,September 25 1932,,Gold,November 11 2019,,July 14 2023,5254419882,,
313262,Scott,,Anderson,December 22 1948,,Basic,February 17 1992,,July 5 2026,4184531070,,
410139,Jean,,Miller,June 16 1939,,Basic,February 24 1982,,July 20 2023,8894966570,,
