Membership number,First name,Middle name,Last name,Date of birth,Address,Status,Membership start date,Membership end date,Renewal date,Phone,Email,Notes
479566,Melvin,,Williams,May 23 1935,,Platinum,August 25 2017,,January 20 2028,6692040352,,
205074,Felicia,,Phillips,June 10 1999,,Platinum,April 24 2022,,January 1 2027,6474795996,,
265599,Mark,,Knight,August 9 1961,,Silver,October 2 2011,,March 16 2026,5157252948,,
613409,Patrick,,Mcdowell,February 26 1947,,Gold,March 20 2001,,August 15 2024,9878893836,,
286086,Ronald,,Hill,March 23 1982,,Silver,November 2 2021,,September 24 2023,2266101061,,
248359,Peter,,Brown,February 28 1927,,Platinum,April 18 2007,,December 11 2024,2526383359,,
285006,Jennifer,,Valdez,December 6 1986,,Platinum,November 1 2012,,March 14 2028,8796541175,,
321645,Steven,,Miller,March 23 1954,,Platinum,May 29 2013,,November 6 2024,8845336794,,
151380,Samantha,,Zavala,February 25 1959,,Silver,April 1 1992,,February 5 2025,8466813380,,
412380,Andrea,,Price,August 7 1991,,Gold,February 9 2012,,November 27 2027,3839648835,,
541792,Elizabeth,,Thomas,April 27 1949,,Gold,March 26 2007,,August 17 2023,6396936556,,
317859,Jamie,,Lewis,December 13 1951,,Platinum,November 21 2001,,January 18 2028,2442024813,,
472314,Matthew,,Guzman,July 9 2003,,Platinum,February 8 2022,,September 1 2025,4085190610,,
478672,Michael,,Hayes,February 11 1964,,Silver,December 9 2014,,June 5 2024,9632233853,,
630575,Cameron,,Nguyen,April 15 2004,,Gold,April 5 2023,,August 5 2023,9717805027,,
172912,James,,Briggs,May 20 1995,,Silver,July 31 2022,,June 22 2027,5462329564,,
